dataset,seed,method,mse,mcc,dcor,sfd,time,num_params
simulated,48,vae,0.2781975425241451,0.811953468968183,0.7869167599460546,509,59.26078802999109,7350
simulated,48,lgminmcm,0.9263729375513912,0.9302571112934832,0.9214941795152968,23,0.0479944359976798,38
simulated,48,ncfa,0.9100035227556912,0.9200673143791906,0.9100371680762058,0,51.051662535988726,6300
simulated,49,fa,57.96731173870745,0.3915873804848644,0.4440737146823813,509,0.4197299419902265,120
simulated,49,vae,0.2797759732505318,0.6974494881872842,0.7826934744058675,509,59.47224075102713,7350
simulated,49,lgminmcm,0.8802405187787132,0.9251672837245444,0.9144283173485288,11,0.07617144001415,36
simulated,49,ncfa,0.8805509698315666,0.9114545456834808,0.9027465101584168,5,36.939249267976265,6300
simulated,50,fa,45.54026559327147,0.5206568413267559,0.4251727182350875,506,0.4275805089855566,120
simulated,50,vae,0.235869618246763,0.7024993189185267,0.7399286724542594,506,37.11497266602237,7350
simulated,50,lgminmcm,0.9969646134232444,0.897481776330603,0.8878336744818227,9,0.0397952210041694,36
simulated,50,ncfa,0.9712571420657998,0.8869507398510391,0.878727607140386,0,64.4477470650454,6300
simulated,51,fa,9.325697154293236,0.4461405590836428,0.4431401965127798,510,0.4007186610251665,120
simulated,51,vae,0.209588225285965,0.8154420537492527,0.7341850261582823,510,59.02999672398437,7350
simulated,51,lgminmcm,0.9710185921179318,0.8948686641857536,0.8861558170446803,0,0.0616139390040189,34
simulated,51,ncfa,0.9302385284542763,0.8829688742856446,0.8731687251913935,11,20.997482101956848,6300
simulated,52,fa,10.684283385744967,0.5355616001708322,0.5883370704788804,506,0.5593151010107249,120
simulated,52,vae,0.2207262857825371,0.8920788237885939,0.7669103352370237,506,41.018549590953626,7350
simulated,52,lgminmcm,1.0140741077127209,0.913835796121559,0.9036015046598148,4,0.0342373679741285,35
simulated,52,ncfa,0.9463748504414402,0.9038885794271876,0.8925652829146157,9,45.37634496099781,6300
simulated,53,fa,7.552790629878386,0.4559751424853571,0.4468690149297585,509,0.9114385690190828,120
simulated,53,vae,0.2481530366728164,0.741341056037155,0.8055280918243084,509,55.81740062899189,7350
simulated,53,lgminmcm,0.8610132675608252,0.9458619113175588,0.9391641024654712,16,0.0969838770106434,37
simulated,53,ncfa,0.8344661860339996,0.9395592094798292,0.9324487964174824,0,71.08864777203416,6300
simulated,54,fa,36.31460198061813,0.4365647157471981,0.4622794843800155,510,0.8490913630230352,120
simulated,54,vae,0.2614949187410892,0.7633885799394408,0.7451367890939841,510,44.85905226698378,7350
simulated,54,lgminmcm,0.9975272314359958,0.9031118103522132,0.892301674716787,13,0.0422971529769711,36
simulated,54,ncfa,0.9547450101628312,0.8804196613615606,0.8709589257546564,6,47.03729866398498,6300
simulated,55,fa,12.492000726868548,0.4723961388156776,0.4448933119366889,508,0.8095124299870804,120
simulated,55,vae,0.2124879623811718,0.709538131142656,0.7433729623425567,508,60.82019421400037,7350
simulated,55,lgminmcm,1.0726123261495546,0.9091065502969607,0.899223585334974,0,0.0414650249877013,34
simulated,55,ncfa,1.0719044173671337,0.8806178785953617,0.8779275272792805,22,36.48875250201672,6300
simulated,56,fa,52.85879356373282,0.5048933510565027,0.4665972546594648,508,0.3768359479727223,120
simulated,56,vae,0.2140217804545339,0.8945118826114804,0.7501892311366681,508,44.42928128899075,7350
simulated,56,lgminmcm,1.2217944250418054,0.9265407290959708,0.9166131655592108,28,0.0893282210454344,39
simulated,56,ncfa,1.2137465289249378,0.922501247479696,0.9129375007177208,0,53.29386522702407,6300
simulated,57,fa,13.43302500209939,0.4239840224502749,0.4417025133658014,510,0.7406213799840771,120
simulated,57,vae,0.208238841097133,0.8209588414086492,0.7761910413466138,510,52.40019004500937,7350
simulated,57,lgminmcm,0.9485225104274968,0.9301771295663296,0.923074495702578,0,0.0345044260029681,34
simulated,57,ncfa,0.9154241009497924,0.917352444431294,0.908642265354788,6,46.95915064297151,6300
simulated,58,fa,21.769164208081325,0.4341319978369955,0.4637582472836722,504,0.5192800340009853,120
simulated,58,vae,0.3019087068960169,0.5710172208452245,0.7502046922831659,504,65.41098814399447,7350
simulated,58,lgminmcm,2.948564004602466,0.7536250196001268,0.6357373507745039,7,0.3108381829806603,36
simulated,58,ncfa,0.8835172671858745,0.8603859617844994,0.855906706354922,0,38.28605781303486,6300
simulated,59,fa,25.803990354046707,0.3619718054980581,0.4023855397458637,506,0.7945424650097266,120
simulated,59,vae,0.2669644486742312,0.8568638169406908,0.7654909435205994,506,54.23960269696545,7350
simulated,59,lgminmcm,0.8782917089468506,0.909944973532026,0.9044038128972904,0,0.0393013370339758,34
simulated,59,ncfa,0.8484299469209289,0.7487646685045602,0.8828877221573517,42,31.826391762995627,6300
simulated,60,fa,24.780754134455183,0.433905910316102,0.4023011254348829,509,0.5704083140008152,120
simulated,60,vae,0.3020898450786827,0.7895283075333346,0.7603847820911231,509,42.4785427430179,7350
simulated,60,lgminmcm,0.8150332234065789,0.8790285297255215,0.8814692860522582,18,0.0418847359833307,37
